"hra_name","year","bedrooms","n","mean","sd","min","Q_25","Q_50","Q_75","max"
"Auburn - North","2017","0",1,1100,NA,1100,1100,1100,1100,1100
"Auburn - North","2017","1",71,1208.11267605634,111.860059167793,650,1150,1225,1262.5,1420
"Auburn - North","2017","2",237,1429.86497890295,187.077565705671,800,1305,1390,1499,2500
"Auburn - North","2017","3",69,1773.75362318841,308.432965631351,700,1575,1700,1999,2730
"Auburn - North","2017","4+",20,1962.7,486.109160363671,1525,1529,1869.5,2175,2930
"Auburn - North","2018","0",5,1274,395.449111770402,720,1000,1500,1500,1650
"Auburn - North","2018","1",518,1255.69111969112,137.071530967735,650,1185,1246.5,1325,2000
"Auburn - North","2018","2",905,1520.40954495006,228.381400969503,102,1390,1475,1669,2167
"Auburn - North","2018","3",393,1765.35623409669,318.51318384604,540,1630,1705,1910,3200
"Auburn - North","2018","4+",156,2287.02564102564,597.201743064219,668,1717,2300,2930,3480
"Auburn - North","2019","0",25,1154.92,160.202715332793,1024,1110,1110,1149,1800
"Auburn - North","2019","1",216,1206.81683168317,165.970359740226,357,1173,1215,1275,1460
"Auburn - North","2019","2",364,1318.03790087464,449.580449342127,50,1345,1436,1499,2123
"Auburn - North","2019","3",151,2361.11851851852,7220.40150003235,50,1537.5,1615,1800,70000
"Auburn - North","2019","4+",92,3585.56179775281,9074.91780823668,50,1708,2000,2500,55000
"Auburn - North","2020","0",3,1619.66666666667,319.233978976758,1265,1487.5,1710,1797,1884
"Auburn - North","2020","1",44,1217.3488372093,201.429283788786,700,1075,1275,1375,1470
"Auburn - North","2020","2",82,1302.57746478873,538.84481365157,50,1390,1499,1595,1850
"Auburn - North","2020","3",42,3269.275,10840.1841809206,700,700,1629,2280,70000
"Auburn - North","2020","4+",27,27266.2,96850.6578195695,700,1000,2200,2840,484850
"Auburn - North","2021","0",17,1231.41176470588,18.2827063899516,1191,1216,1241,1241,1244
"Auburn - North","2021","1",191,1464.75392670157,160.370942284557,1060,1360,1425,1520,1850
"Auburn - North","2021","2",271,1683.61992619926,121.950291214912,1400,1575,1710,1760,2025
"Auburn - North","2021","3",70,1861.54285714286,186.077409925203,1475,1760,1810,1865,2750
"Auburn - North","2021","4+",17,2155.94117647059,825.522975951323,900,1908,1925,1925,4800
"Auburn - North","2022","1",123,1639.79674796748,132.074181797709,1125,1562.5,1675,1700,1975
"Auburn - North","2022","2",84,1925.88095238095,82.0601314584961,1725,1875,1925,1950,2195
"Auburn - North","2022","3",14,1871.5,436.972055082561,900,1796.25,2075,2157.5,2195
"Auburn - North","2022","4+",4,2289.5,740.376705918458,1908,1920.75,1925,2293.75,3400
"Auburn - South","2017","0",28,996.785714285714,80.8085790929803,875,922.5,995,1050,1150
"Auburn - South","2017","1",295,1109.15254237288,122.298260031693,800,1000,1135,1212.5,1415
"Auburn - South","2017","2",198,1321.67676767677,219.269892720041,950,1190,1220,1411.25,2809
"Auburn - South","2017","3",14,1657.5,212.935074973209,1200,1520,1647.5,1795,1950
"Auburn - South","2017","4+",7,2631.42857142857,847.44574204741,1320,2295,2495,3107.5,3800
"Auburn - South","2018","0",149,1099.67785234899,75.6122101944624,825,1040,1120,1150,1320
"Auburn - South","2018","1",506,1137.99209486166,125.116341647628,825,1060,1105,1228.75,2550
"Auburn - South","2018","2",680,1316.08676470588,163.599009942966,50,1235,1315,1375,1885
"Auburn - South","2018","3",39,1474.48717948718,274.872685533433,800,1320,1500,1612.5,2100
"Auburn - South","2018","4+",18,2021.38888888889,401.056712857552,1320,1600,2210,2298.75,2400
"Auburn - South","2019","0",26,1078.08695652174,461.070879292138,200,1004,1004,1117.5,3000
"Auburn - South","2019","1",264,1246.63333333333,317.349323343377,149,1110,1175,1281.25,3000
"Auburn - South","2019","2",396,1956.14076246334,7732.49971363104,20,1250,1350,1425,102400
"Auburn - South","2019","3",39,1907.91666666667,729.880983448672,700,1695,1797.5,1861.25,5750
"Auburn - South","2019","4+",26,2589.7,569.900923984068,1480,2370,2750,2850,3499
"Auburn - South","2020","0",14,1057.64285714286,672.217410703373,200,673.75,1135,1168.75,3000
