"tract_geoid","year","bedrooms","n","mean","sd","min","Q_25","Q_50","Q_75","max"
"53033000101","2017","0",59,1303.71186440678,89.676631878571,1005,1255,1325,1357.5,1455
"53033000101","2017","1",242,1358.73966942149,125.055118124709,950,1280,1345,1445,1725
"53033000101","2017","2",232,1849.88793103448,200.979345562889,1195,1683.75,1865,1995,2350
"53033000101","2017","3",3,2366.66666666667,378.593889720018,2100,2150,2200,2500,2800
"53033000101","2017","4+",1,1978,NA,1978,1978,1978,1978,1978
"53033000101","2018","0",155,1341.78709677419,146.618950738104,506,1290,1340,1410,1945
"53033000101","2018","1",1508,1470.68700265252,148.5381102029,158,1375,1450.5,1556,2300
"53033000101","2018","2",987,1781.94022289767,204.074980933363,1065,1675,1750,1883,2640
"53033000101","2018","3",6,2413.33333333333,316.333157709821,1980,2262.5,2375,2562.5,2900
"53033000101","2018","4+",1,2200,NA,2200,2200,2200,2200,2200
"53033000101","2019","0",177,1265.22155688623,245.31379956169,250,1253,1325,1345,2170
"53033000101","2019","1",829,2140.52686762779,8130.94277641482,60,1395,1490,1550,93330
"53033000101","2019","2",499,2071.90238611714,6056.47632176524,200,1595,1825,1990,93330
"53033000101","2019","3",6,2825,106.066017177982,2750,2787.5,2825,2862.5,2900
"53033000101","2020","0",57,1176.69230769231,322.063904172822,250,1168.75,1299,1325,1925
"53033000101","2020","1",266,2012.7975708502,7443.00092843233,250,1299,1405,1550,93330
"53033000101","2020","2",192,2040.45989304813,5294.62343663347,250,1562.5,1699,1849,73850
"53033000101","2021","0",141,1322.70212765957,127.260180321422,685,1245,1325,1405,1575
"53033000101","2021","1",1414,1437.2171145686,350.676967737008,785,1300,1400,1525,13325
"53033000101","2021","2",587,1813.03407155026,224.301096235177,1295,1650,1825,1925,2785
"53033000101","2021","3",5,2183.4,249.455005962999,1800,2200,2200,2217,2500
"53033000101","2022","0",8,1370,124.670995595837,1150,1315,1412.5,1438.75,1520
"53033000101","2022","1",146,1539.29452054795,91.0876930865938,1290,1495,1525,1545,1935
"53033000101","2022","2",134,1835.18656716418,159.759460539074,1395,1750,1775,1875,2420
"53033000101","2022","3",1,1875,NA,1875,1875,1875,1875,1875
"53033000102","2017","0",33,1375.12121212121,142.1512745229,1171,1300,1319,1432,1735
"53033000102","2017","1",41,1528.19512195122,139.898037783272,1250,1399,1550,1630,1752
"53033000102","2017","2",51,1832.74509803922,211.408215841982,1250,1755,1843,1917,2460
"53033000102","2017","3",3,1790.33333333333,380.632806433357,1351,1675,1999,2010,2021
"53033000102","2017","4+",3,4461.66666666667,1666.54082858277,2595,3792.5,4990,5395,5800
"53033000102","2018","0",182,1406.13333333333,134.59330007315,1023,1300,1412,1498,2133
"53033000102","2018","1",228,1492.5701754386,162.618765507316,748,1395,1525,1610.5,1777
"53033000102","2018","2",212,2009.80188679245,292.137438271826,700,1825,2077,2192,2470
"53033000102","2018","3",30,2391.86666666667,344.016211860704,1495,2177.75,2402,2473.75,3150
"53033000102","2018","4+",13,3501.15384615385,546.91617976826,2495,2950,3750,3950,3950
"53033000102","2019","0",281,1417.79150579151,191.550413763166,99,1350,1399,1520,1945
"53033000102","2019","1",254,1577.5690376569,278.882844976487,99,1500,1595,1716.5,2130
"53033000102","2019","2",216,2122.69154228856,500.724130013833,99,1850,2065,2550,2975
"53033000102","2019","3",101,2783.975,833.355303971978,45,2772,2999,3305,3370
"53033000102","2019","4+",11,3324.18181818182,1051.65135079853,1500,2719,3695,3900,4700
"53033000102","2020","0",58,2221.31481481481,6158.68452268543,99,1199,1330,1416.5,46500
"53033000102","2020","1",29,1452.28,408.602243426701,45,1250,1599,1751,1899
"53033000102","2020","2",37,1678.93103448276,296.865521627276,1099,1558,1700,1800,2299
"53033000102","2020","3",10,1177.57142857143,1284.50416596481,45,174.5,250,2424.5,2750
"53033000102","2020","4+",4,4347.5,1128.60902589574,3450,3840,3970,4477.5,6000
"53033000102","2021","0",36,1329.86111111111,134.626712012518,995,1223,1297,1425,1575
"53033000102","2021","1",169,1231.31952662722,218.653601148055,899,1099,1199,1309,1874
"53033000102","2021","2",111,1519.45945945946,364.482167758932,1099,1299,1562,1562,2699
"53033000102","2021","3",21,2706.7619047619,238.670045200881,2200,2499,2750,2850,3250
"53033000102","2021","4+",2,3932,335.168614282424,3695,3813.5,3932,4050.5,4169
"53033000102","2022","0",58,1552.91379310345,271.940156244609,995,1470.75,1626.5,1746.75,1970
"53033000102","2022","1",92,1714.88043478261,354.815935640473,999,1571,1857.5,1982.75,2124
"53033000102","2022","2",45,2474.95555555556,417.763795569804,970,2324,2614,2709,3156
"53033000102","2022","3",11,3108.36363636364,514.155282522172,2000,2856.5,3169,3399,3899
"53033000102","2022","4+",2,3947.5,1488.45977439768,2895,3421.25,3947.5,4473.75,5000
"53033000201","2017","1",9,1273.33333333333,124.071551936776,1100,1215,1250,1275,1495
"53033000201","2017","2",19,1797.36842105263,368.59104265452,1395,1562.5,1625,1920,2795
"53033000201","2017","3",2,2172.5,109.601551083915,2095,2133.75,2172.5,2211.25,2250
"53033000201","2017","4+",7,2965.71428571429,320.772876183817,2500,2800,2900,3130,3500
"53033000201","2018","1",78,1375.64102564103,165.873052253431,975,1250,1350,1495,1800
"53033000201","2018","2",136,1688.38235294118,291.687861041331,1275,1525,1625,1850,2600
"53033000201","2018","3",9,2230,425.352794748077,1500,1950,2280,2300,2990
"53033000201","2018","4+",13,2889.23076923077,361.563999370825,2000,3000,3000,3150,3200
"53033000201","2019","1",25,1468.5,207.52286411486,999,1321.25,1500,1595,1850
"53033000201","2019","2",84,1654.6265060241,286.610329109538,1295,1425,1645,1850,2900
"53033000201","2019","3",7,1966,854.778918785437,720,1538.5,2375,2450,2690
"53033000201","2019","4+",6,2491.66666666667,777.442388004839,1200,2175,2650,3125,3150
"53033000201","2020","1",7,1475,188.745860881769,1175,1400,1500,1550,1750
"53033000201","2020","2",43,1488.48837209302,342.079660180478,1000,1000,1650,1772.5,1895
"53033000201","2020","3",8,1214.25,690.636507661075,650,702.5,960,1543.5,2600
"53033000201","2020","4+",2,3025,459.619407771256,2700,2862.5,3025,3187.5,3350
"53033000201","2021","1",22,1344.90909090909,201.863204291305,700,1265,1325,1466.25,1650
"53033000201","2021","2",33,1612.93939393939,107.843909017251,1499,1525,1550,1700,1850
"53033000201","2021","3",3,2416.66666666667,361.708906903512,2000,2300,2600,2625,2650
"53033000201","2021","4+",2,3300,0,3300,3300,3300,3300,3300
"53033000201","2022","1",4,1650,108.012344973464,1550,1587.5,1625,1687.5,1800
"53033000201","2022","2",9,2111.11111111111,468.893496554507,1700,1850,1900,2200,2900
"53033000202","2017","0",2,1250,0,1250,1250,1250,1250,1250
"53033000202","2017","1",14,1388.42857142857,210.851283458896,995,1295,1325,1414.75,1800
"53033000202","2017","2",8,1754.375,295.434758328419,1400,1550,1697.5,1862.5,2290
"53033000202","2017","3",15,2374,451.905489487096,1475,2050,2350,2722.5,3250
"53033000202","2017","4+",3,2533.33333333333,251.661147842358,2300,2400,2500,2650,2800
"53033000202","2018","0",4,1218.25,138.439818453122,1023,1193.25,1250,1275,1350
"53033000202","2018","1",151,1430.6821192053,135.579023493603,750,1373,1434,1521.5,1775
"53033000202","2018","2",74,1660.2027027027,347.238892924912,600,1650,1754,1828,2497
"53033000202","2018","3",18,2336.05555555556,251.916296141075,1875,2137.5,2422.5,2537.5,2650
"53033000202","2018","4+",14,2622.85714285714,604.714536231494,675,2712.5,2750,2837.5,3200
"53033000202","2019","0",4,14194.5,25970.99736886,950,1214.75,1339,14318.75,53150
"53033000202","2019","1",28,1411.55555555556,267.044988047006,400,1365,1409,1495,1950
"53033000202","2019","2",32,1844.46666666667,379.765420638377,1303,1650,1765,1813,2700
"53033000202","2019","3",14,1978.76923076923,783.058443311242,49,1550,2395,2400,2800
"53033000202","2019","4+",1,2650,NA,2650,2650,2650,2650,2650
"53033000202","2020","1",9,1360.55555555556,54.8546058027745,1250,1350,1350,1395,1455
"53033000202","2020","2",10,1613.6,173.405882253169,1250,1608.75,1650,1690.25,1875
"53033000202","2020","3",5,1950,971.253485622231,500,1850,2400,2500,2500
"53033000202","2020","4+",1,1150,NA,1150,1150,1150,1150,1150
"53033000202","2021","0",1,1670,NA,1670,1670,1670,1670,1670
"53033000202","2021","1",55,1399,124.723397668304,1195,1295,1395,1495,1700
"53033000202","2021","2",70,1727.75714285714,213.834721202424,1000,1645,1675,1795,2175
"53033000202","2021","3",5,2436.6,546.326642220567,1933,2050,2300,2600,3300
"53033000202","2022","1",4,1642,178.529175953587,1480,1491.25,1644,1794.75,1800
"53033000202","2022","2",1,1740,NA,1740,1740,1740,1740,1740
"53033000300","2017","1",8,1368.125,277.140210775289,1125,1190,1275,1412.5,1950
"53033000300","2017","2",10,1657,319.315239570901,1250,1500,1575,1793.75,2395
"53033000300","2017","3",9,2448.11111111111,982.074773686358,1200,2000,2395,2495,3950
"53033000300","2017","4+",3,2633.33333333333,115.470053837925,2500,2600,2700,2700,2700
"53033000300","2018","0",5,1340,181.659021245849,1150,1150,1400,1450,1550
"53033000300","2018","1",21,1267.85714285714,188.782754963022,700,1200,1250,1300,1650
"53033000300","2018","2",28,1807.57142857143,368.373444630574,1300,1550,1692.5,2181.25,2495
"53033000300","2018","3",23,2949.08695652174,761.582736688624,2195,2325,2600,3205,4500
"53033000300","2018","4+",8,2605,479.761845681197,1700,2475,2755,2857.5,3200
"53033000300","2019","0",9,1661.11111111111,179.891942874358,1400,1650,1650,1800,1950
"53033000300","2019","1",10,1365.5,366.1090456863,900,1207.5,1275,1548.75,1995
"53033000300","2019","2",13,1898.84615384615,282.047231905653,1380,1695,1900,2150,2295
"53033000300","2019","3",17,2829,1242.60555745923,900,2197.5,2450,4122.5,4250
"53033000300","2019","4+",6,3005,421.366823563507,2400,2800,2965,3295,3550
"53033000300","2020","0",1,1675,NA,1675,1675,1675,1675,1675
"53033000300","2020","1",3,18618.3333333333,29913.9985346883,1300,1347.5,1395,27277.5,53160
"53033000300","2020","2",5,2083.75,177.029893897424,1895,1970,2070,2183.75,2300
"53033000300","2020","3",6,2955.66666666667,655.329433694739,2200,2498.75,2895,3257.5,3999
"53033000300","2020","4+",3,3266.66666666667,115.470053837925,3200,3200,3200,3300,3400
"53033000300","2021","0",2,1199.5,424.971175493115,899,1049.25,1199.5,1349.75,1500
"53033000300","2021","1",4,1278.75,57.3548893585659,1195,1270,1297.5,1306.25,1325
"53033000300","2021","2",6,1487.83333333333,54.0940538938123,1395,1480,1497.5,1500,1562
"53033000300","2021","3",4,2471.25,258.791260800412,2100,2400,2550,2621.25,2685
"53033000300","2021","4+",3,2157,1023.87841075003,976,1838,2700,2747.5,2795
"53033000300","2022","0",1,1005,NA,1005,1005,1005,1005,1005
"53033000300","2022","1",2,1497.5,279.307178568686,1300,1398.75,1497.5,1596.25,1695
"53033000300","2022","2",7,2167.85714285714,685.977751964651,1250,1650,2100,2775,2975
"53033000300","2022","3",2,3047.5,632.86056916196,2600,2823.75,3047.5,3271.25,3495
"53033000402","2017","0",2,800,0,800,800,800,800,800
"53033000402","2017","1",23,1309.13043478261,422.459390662456,630,1127.5,1295,1375,2990
"53033000402","2017","2",41,1690.9756097561,307.476054986797,1395,1495,1575,1755,2950
"53033000402","2017","3",5,2468,236.341913337436,2200,2250,2500,2695,2695
"53033000402","2017","4+",1,3900,NA,3900,3900,3900,3900,3900
"53033000402","2018","0",11,1058.18181818182,332.913447665251,595,800,1050,1400,1450
"53033000402","2018","1",92,1325.77173913043,199.897286991076,715,1198.75,1335,1470,1900
"53033000402","2018","2",104,1718.39423076923,327.120429065541,487,1495,1672.5,1856.25,2600
"53033000402","2018","3",21,2463.80952380952,538.472155180527,900,2500,2600,2700,2900
"53033000402","2018","4+",5,2855,388.683676014314,2500,2600,2800,2880,3495
"53033000402","2019","0",11,1042.90909090909,219.567964214024,650,923.5,1050,1140,1400
"53033000402","2019","1",44,1268.95348837209,371.418705678669,20,1262.5,1350,1495,1675
"53033000402","2019","2",42,1774.87804878049,493.628767148044,300,1545,1795,1900,2800
"53033000402","2019","3",16,9073.21428571429,24735.0134585915,1750,2148.75,2495,2775,95000
"53033000402","2019","4+",4,1966.66666666667,1011.59939369957,800,1650,2500,2550,2600
"53033000402","2020","0",2,1045,70.7106781186548,995,1020,1045,1070,1095
"53033000402","2020","1",11,1154.09090909091,412.994056747904,20,1147.5,1295,1362.5,1525
"53033000402","2020","2",17,1558.52941176471,519.794925625368,300,1500,1635,1850,2190
"53033000402","2020","3",2,1100,0,1100,1100,1100,1100,1100
"53033000402","2020","4+",1,3680,NA,3680,3680,3680,3680,3680
"53033000402","2021","1",11,1324.54545454545,141.782483852106,1195,1250,1295,1360,1700
"53033000402","2021","2",18,1852.22222222222,246.679252461108,1525,1708.75,1810,1862.5,2500
"53033000402","2021","3",1,1800,NA,1800,1800,1800,1800,1800
"53033000402","2021","4+",1,4990,NA,4990,4990,4990,4990,4990
"53033000402","2022","0",2,972.5,31.8198051533946,950,961.25,972.5,983.75,995
"53033000402","2022","1",5,1544,276.120444733815,1300,1400,1425,1595,2000
"53033000402","2022","2",4,1987.5,192.028643696715,1825,1825,1962.5,2125,2200
"53033000402","2022","3",2,3197.5,993.485027567099,2495,2846.25,3197.5,3548.75,3900
"53033000402","2022","4+",1,4200,NA,4200,4200,4200,4200,4200
"53033000403","2017","0",1,1295,NA,1295,1295,1295,1295,1295
"53033000403","2017","1",88,1425.23863636364,181.568073698613,1150,1295,1444,1538,1975
"53033000403","2017","2",24,1914.83333333333,250.201078555119,1550,1815,1815,1996.25,2750
"53033000403","2017","3",4,2573.75,150.851748415456,2495,2498.75,2500,2575,2800
"53033000403","2017","4+",1,2600,NA,2600,2600,2600,2600,2600
"53033000403","2018","0",7,1297.85714285714,355.678426190207,1095,1150,1195,1197.5,2100
"53033000403","2018","1",206,1467.51941747573,251.098750590185,311,1251.5,1575,1650,2050
"53033000403","2018","2",115,1927.68695652174,251.692424563715,750,1797.5,1995,2100,2400
"53033000403","2018","3",5,2359,241.153478100566,2100,2200,2295,2500,2700
"53033000403","2018","4+",1,3300,NA,3300,3300,3300,3300,3300
"53033000403","2019","0",20,917.25,521.529822026658,225,225,1300,1300,1300
"53033000403","2019","1",71,1157.16666666667,441.284265031173,250,500,1264,1475,1670
"53033000403","2019","2",41,1597.45945945946,633.459311794925,20,1499,1719,2045,2200
"53033000403","2019","3",6,2250,500,1450,2125,2200,2537.5,2900
