station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,2,47.3872111,-122.2309948,153 161,Kent - Central,"c(-122.230994805229, 47.3872111000246)"
Metro Stop,KC Metro,2,47.39012967,-122.2309679,153 161,Kent - Central,"c(-122.230967889518, 47.3901296733273)"
Metro Stop,KC Metro,3,47.39675623,-122.2279308,153 161 566E,Kent - East,"c(-122.227930783049, 47.3967562344674)"
Metro Stop,KC Metro,2,47.40180295,-122.2279161,153 161,Kent - West,"c(-122.227916075236, 47.4018029452725)"
Metro Stop,KC Metro,1,47.47063989,-122.2190479,153,Renton - North,"c(-122.219047883953, 47.4706398894677)"
Metro Stop,KC Metro,2,47.46976769,-122.224314,153 F,Renton - South,"c(-122.224313997379, 47.4697676900651)"
Metro Stop,KC Metro,1,47.2912225,-122.2551714,917,"Lakeland, Algona, Pacific, and Milton","c(-122.255171434371, 47.2912224994382)"
Metro Stop,KC Metro,1,47.28871909,-122.2551075,917,"Lakeland, Algona, Pacific, and Milton","c(-122.25510747886, 47.2887190946296)"
Metro Stop,KC Metro,1,47.28650192,-122.2555913,917,"Lakeland, Algona, Pacific, and Milton","c(-122.255591277287, 47.2865019153997)"
Metro Stop,KC Metro,1,47.76513936,-122.154025,522E,Bothell and Woodinville,"c(-122.154025013358, 47.7651393570881)"
Metro Stop,KC Metro,1,47.76585127,-122.1545352,522E,Bothell and Woodinville,"c(-122.154535219745, 47.7658512747315)"
Metro Stop,KC Metro,1,47.75406536,-122.0686207,232,Bear Creek and Greater Sammamish,"c(-122.068620703772, 47.7540653597517)"
Metro Stop,KC Metro,1,47.76051217,-122.034906,232,Bear Creek and Greater Sammamish,"c(-122.034906009247, 47.7605121688724)"
Metro Stop,KC Metro,1,47.76097109,-122.0372792,232,Bear Creek and Greater Sammamish,"c(-122.037279168164, 47.7609710866115)"
Metro Stop,KC Metro,1,47.76042202,-122.0350828,232,Bear Creek and Greater Sammamish,"c(-122.035082837701, 47.7604220208021)"
