FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Elementary,Bowman Creek Elementary School,98092,-122.1900746,47.25840358,AUBURN,-122.190071,47.25840566,Auburn - South,"c(-122.19007102711, 47.2584056585833)"
School-Elementary,Wilburton Elementary,98005,-122.1763141,47.61085106,BELLEVUE,-122.1763124,47.61085315,Bellevue - Central,"c(-122.176312401483, 47.6108531508654)"
School-Junior High/Middle,Glacier Middle School,98168,-122.2992133,47.47735298,HIGHLINE,-122.299211,47.47735486,Seatac,"c(-122.299210994755, 47.4773548646975)"
School-Alternative,International School,98005,-122.1705821,47.60403083,BELLEVUE,-122.1705803,47.60403293,Bellevue - Central,"c(-122.170580339912, 47.6040329301647)"
School-Elementary,McGilvra Elementary School,98112,-122.2848329,47.63407582,SEATTLE,-122.2848313,47.6340777,"Montlake, Madison Park, and Madrona","c(-122.284831303566, 47.6340777018024)"
School-Elementary,Gregory Heights Elementary School,98166,-122.3559603,47.45813139,HIGHLINE,-122.3559579,47.4581332,Burien,"c(-122.355957888388, 47.4581331977538)"
School-Elementary,Ben Franklin Elementary School,98033,-122.1733103,47.66213533,LAKE WASHINGTON,-122.1733089,47.66213741,Kirkland - South,"c(-122.17330888912, 47.6621374099151)"
School-Elementary,Martin Sortun Elementary School,98030,-122.1717868,47.37865879,KENT,-122.1717839,47.37866092,Kent - South,"c(-122.171783937428, 47.3786609198297)"
School-Elementary,Carl Sandburg Elementary School,98034,-122.2306435,47.71678424,LAKE WASHINGTON,-122.2306423,47.71678622,Kirkland - North,"c(-122.230642267828, 47.7167862154918)"
School-Alternative,Licton Springs K-8 School,98117,-122.3963601,47.67769743,SEATTLE,-122.3963587,47.67769909,Seattle - Ballard,"c(-122.396358683488, 47.6776990912226)"
School-Junior High/Middle,Tyee Middle School,98006,-122.1583367,47.57354158,BELLEVUE,-122.1583348,47.57354372,Bellevue - Central,"c(-122.158334830057, 47.5735437213245)"
School-Elementary,Keller Elementary School,98034,-122.1956927,47.72481045,LAKE WASHINGTON,-122.1956915,47.72481247,Kirkland - North,"c(-122.19569149857, 47.7248124738283)"
School-High,Kennedy Catholic High School,98168,-122.3319797,47.47807247,HIGHLINE,-122.3319773,47.47807431,Burien,"c(-122.331977342847, 47.4780743148139)"
School-High,Lakeside High School,98125,-122.3267542,47.73270082,SEATTLE,-122.326753,47.7327026,"Seattle - Broadview, Haller Lake, and Licton Springs","c(-122.326753040283, 47.7327026025995)"
School-Elementary,Somerset Elementary School,98006,-122.1517875,47.56291882,BELLEVUE,-122.1517856,47.56292098,Bellevue - South,"c(-122.151785597513, 47.5629209773968)"
School-Junior High/Middle,Kamiakin Middle School,98034,-122.1649421,47.72730131,LAKE WASHINGTON,-122.164941,47.72730338,Kirkland - North,"c(-122.164941001228, 47.7273033822192)"
School-College or University,Green River College - Enumclaw Campus,98022,-121.9921531,47.2043628,ENUMCLAW,-121.9921508,47.20436448,"Enumclaw, Black Diamond, and Southeast King County","c(-121.992150772556, 47.2043644762563)"
School-Alternative,The Northwest School,98122,-122.3259458,47.61339052,SEATTLE,-122.325944,47.61339234,Seattle - Capitol Hill,"c(-122.325944049027, 47.6133923400223)"
School-Junior High/Middle,Lakota Middle School,98023,-122.3541155,47.32015869,FEDERAL WAY,-122.3541123,47.32016044,Federal Way - Central,"c(-122.354112295858, 47.320160437133)"
School-High,Ballard High School,98117,-122.3754449,47.67670507,SEATTLE,-122.3754434,47.67670677,Seattle - Ballard,"c(-122.37544343783, 47.6767067728877)"
School-Alternative,Jubilee REACH,98007,-122.1518327,47.59959662,BELLEVUE,-122.151831,47.59959876,Bellevue - Central,"c(-122.151830997906, 47.5995987594652)"
School-Elementary,Alpac Elementary School,98047,-122.2490019,47.27098853,AUBURN,-122.2489984,47.27099047,"Lakeland, Algona, Pacific, and Milton","c(-122.24899842661, 47.2709904716374)"
School-K-12,Woodinville Montessori School - Main Campus,98011,-122.1832909,47.76690224,NORTHSHORE,-122.1832899,47.7669042,Bothell and Woodinville,"c(-122.18328990982, 47.7669042002545)"
School-Elementary,Cascade View Elementary School,98065,-121.8758183,47.53249075,SNOQUALMIE VALLEY,-121.8758166,47.53249338,Snoqualmie and North Bend,"c(-121.875816552132, 47.5324933801698)"
School-Junior High/Middle,Illahee Middle School,98003,-122.3359465,47.27749198,FEDERAL WAY,-122.3359431,47.27749375,Federal Way - Dash Point and Southern Rim,"c(-122.335943071953, 47.2774937472091)"
School-Alternative,Queen Anne Elementary School,98109,-122.3489724,47.63796181,SEATTLE,-122.3489708,47.63796358,Seattle - Queen Anne,"c(-122.348970768888, 47.637963582534)"
School-Elementary,Lake Dolloff Elementary School,98001,-122.2807094,47.32680535,FEDERAL WAY,-122.2807063,47.32680724,"Lakeland, Algona, Pacific, and Milton","c(-122.280706254838, 47.3268072387011)"
School-High,Newport High School,98006,-122.171793,47.56771924,BELLEVUE,-122.1717911,47.56772135,Bellevue - Central,"c(-122.171791104241, 47.5677213486466)"
School-Alternative,Seattle Waldorf School - Kinderhaus Campus,98103,-122.3397862,47.66481834,SEATTLE,-122.3397847,47.66482012,Fremont and Wallingford,"c(-122.33978474963, 47.6648201188411)"
